symbol,train_win_rate,train_gap_threshold_value
ABB,0.82,1.67
POWERINDIA,0.77,2.67
ACC,0.59,1.24
AIAENG,0.93,2.65
APLAPOLLO,0.85,4.3
AUBANK,0.39,2.61
AARTIDRUGS,0.82,3.74
AARTIIND,0.87,2.62
AAVAS,0.71,2.92
ABBOTINDIA,0.9,2.22
ADANIENT,0.66,2.13
ADANIGREEN,0.33,4.8
ADANIPORTS,0.65,1.8
ABCAPITAL,0.47,2.31
ABFRL,0.75,3.46
ADVENZYMES,0.83,2.52
AEGISCHEM,0.77,3.01
AFFLE,0.34,4.3
AJANTPHARM,0.82,1.91
ALEMBICLTD,0.67,3.42
APLLTD,0.83,2.12
ALKEM,0.86,1.73
ALKYLAMINE,0.78,4.93
AMARAJABAT,0.7,1.81
AMBER,0.62,2.84
AMBUJACEM,0.62,1.41
ANURAS,1.0,1.72
APOLLOHOSP,0.8,1.69
APOLLOTYRE,0.81,1.92
ASAHIINDIA,0.9,2.87
ASHOKLEY,0.79,2.67
ASHOKA,0.93,4.27
ASIANPAINT,0.63,1.42
ASTERDM,0.85,3.33
ASTRAZEN,0.68,3.23
ASTRAL,0.87,3.15
ATUL,0.71,2.11
AUROPHARMA,0.62,2.13
AVANTIFEED,0.69,3.45
DMART,0.59,1.8
AXISBANK,0.53,2.2
BASF,0.9,2.48
BEML,0.54,2.3
BSE,0.75,2.59
BAJAJ-AUTO,0.79,1.28
BAJAJCON,0.7,2.5
BAJAJELEC,0.75,1.99
BAJFINANCE,0.65,1.98
BAJAJFINSV,0.71,1.66
BAJAJHLDNG,0.84,1.83
BALAMINES,0.78,5.57
BALKRISIND,0.83,2.83
BALRAMCHIN,0.68,2.92
BANDHANBNK,0.5,3.39
BANKBARODA,0.62,2.28
BANKINDIA,0.64,2.39
MAHABANK,0.86,3.25
BATAINDIA,0.68,1.49
BAYERCROP,0.78,2.64
BERGEPAINT,0.65,1.75
BDL,0.83,3.84
BEL,0.78,2.12
BHARATFORG,0.69,1.85
BHEL,0.53,1.76
BPCL,0.55,1.95
BHARATRAS,0.87,6.64
BHARTIARTL,0.58,1.75
BIOCON,0.66,2.03
BIRLACORPN,0.92,3.67
BSOFT,0.85,2.37
BLUEDART,0.95,2.49
BLUESTARCO,0.85,2.73
BBTC,0.73,2.86
BOSCHLTD,0.76,1.64
BRIGADE,0.79,3.35
BRITANNIA,0.83,1.74
BURGERKING,0.25,3.91
CCL,0.7,2.85
CESC,0.65,1.7
CRISIL,0.85,2.59
CSBBANK,0.71,2.96
CADILAHC,0.91,2.33
CANFINHOME,0.88,2.93
CANBK,0.49,2.25
CAPLIPOINT,0.57,3.78
CGCL,0.65,6.24
CARBORUNIV,0.94,2.73
CASTROLIND,0.56,1.19
CEATLTD,0.83,1.97
CENTRALBK,0.69,2.81
CDSL,0.55,1.82
CENTURYPLY,0.89,4.21
CENTURYTEX,0.51,1.53
CERA,0.97,3.34
CHALET,0.69,4.92
CHAMBLFERT,0.7,2.05
CHOLAHLDNG,0.82,3.49
CHOLAFIN,0.82,2.48
CIPLA,0.68,1.5
CUB,0.84,2.51
COALINDIA,0.7,1.57
COCHINSHIP,0.71,2.44
COFORGE,0.87,1.85
COLPAL,0.9,1.9
CAMS,0.5,1.71
CONCOR,0.86,3.0
COROMANDEL,0.73,2.43
CREDITACC,0.42,3.38
CROMPTON,0.71,2.37
CUMMINSIND,0.72,1.91
CYIENT,0.71,2.53
DCBBANK,0.64,2.42
DCMSHRIRAM,0.86,3.88
DLF,0.43,2.2
DABUR,0.77,1.46
DALBHARAT,0.83,3.09
DEEPAKNTR,0.88,4.59
DELTACORP,0.73,2.24
DHANI,0.53,3.62
DHANUKA,0.93,3.44
DBL,0.55,3.27
DIVISLAB,0.62,1.9
DIXON,0.76,2.44
LALPATHLAB,0.78,2.26
DRREDDY,0.73,1.58
EIDPARRY,0.97,2.51
EIHOTEL,0.81,2.17
EPL,0.97,3.6
EDELWEISS,0.74,2.86
EICHERMOT,0.77,2.08
ELGIEQUIP,0.94,3.45
EMAMILTD,0.89,2.46
ENDURANCE,0.86,2.72
ENGINERSIN,0.74,2.04
EQUITAS,0.82,2.69
EQUITASBNK,0.75,3.3
ERIS,0.68,2.31
ESCORTS,0.58,1.92
EXIDEIND,0.84,1.7
FDC,0.81,2.64
FEDERALBNK,0.8,5.29
FACT,0.81,5.28
FINEORG,0.67,2.64
FINCABLES,0.75,3.18
FINPIPE,0.9,2.77
FSL,0.67,3.07
FORTIS,0.73,2.22
FRETAIL,0.35,3.45
GAIL,0.66,1.6
GMMPFAUDLR,0.68,3.34
GALAXYSURF,0.68,2.52
GARFIBRES,0.76,4.8
GICRE,0.75,2.42
GILLETTE,0.92,2.67
GLAND,0.67,1.99
GLAXO,0.93,2.19
GLENMARK,0.68,1.91
GODFRYPHLP,0.9,3.47
GODREJAGRO,0.74,1.99
GODREJCP,0.9,1.91
GODREJIND,0.76,1.97
GODREJPROP,0.8,2.24
GRANULES,0.72,2.9
GRAPHITE,0.63,2.8
GRASIM,0.57,1.22
GESHIP,0.83,2.26
GREAVESCOT,0.82,2.69
GRINDWELL,0.93,3.64
GUJALKALI,0.84,2.86
GAEL,0.86,4.62
FLUOROCHEM,0.91,4.54
GUJGASLTD,0.0,32.73
GNFC,0.8,2.49
GPPL,0.76,2.92
GSFC,0.69,2.52
GSPL,0.82,2.21
HEG,0.58,3.14
HCLTECH,0.63,1.72
HDFCAMC,0.6,1.82
HDFCBANK,0.68,1.61
HDFCLIFE,0.65,1.75
HFCL,0.71,3.44
HAPPSTMNDS,0.4,2.11
HATHWAY,0.78,3.66
